city_of_origin,city_of_destination,departure_datetime,arrival_datetime
Barcelona,Madrid,2026-03-01 08:00:00,2026-03-01 11:30:00
Madrid,Valencia,2026-03-01 12:30:00,2026-03-01 15:00:00
Valencia,Sevilla,2026-03-02 09:00:00,2026-03-02 13:30:00
Sevilla,Barcelona,2026-03-02 14:30:00,2026-03-02 18:45:00
Barcelona,Bilbao,2026-03-03 07:15:00,2026-03-03 12:00:00
Bilbao,Paris,2026-03-03 13:00:00,2026-03-03 17:20:00
Paris,Barcelona,2026-03-04 09:00:00,2026-03-04 15:30:00
Barcelona,Madrid,2026-03-04 14:00:00,2026-03-04 16:30:00
Madrid,Lisbon,2026-03-05 10:00:00,2026-03-05 12:30:00
Lisbon,Barcelona,2026-03-06 18:00:00,2026-03-06 21:30:00
