ID de comentario,ID de canal,Marca de tiempo de creación del comentario,Precio,ID de comentario principal,ID de publicación,ID de vídeo,Texto del comentario,ID de comentario de nivel superior
UgwNWW7Dan1xXEeDbrN4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2024-02-11T01:04:44.948224+00:00,0,,,CsrA_5AUQNM,"{""text"":""Te amo Dillom❤️""}",
UgwW9BT-PKcsWteKnW14AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2023-08-20T01:41:03.60948+00:00,0,,,fsE60KGT6uQ,"{""text"":""Hermoso Ian, genio total❤""}",
Ugyte1_9XLbgpxuzlhB4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2022-09-16T06:10:53.053579+00:00,0,,,JjBJv0GDR4w,"{""text"":""Lo amo""}",
UgzM5I2EiGFYlmZveal4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2022-08-12T18:37:56.310269+00:00,0,,,nXx6gSr6N88,"{""text"":""Por favorrrrr❤️❤️❤️❤️""}",
UgwpjeWPsqN_nI-euCF4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2022-02-11T20:42:09.735019+00:00,0,,,Bvz-A21LiHo,"{""text"":""Ey Dillom que lindo que sos""}",
Ugz2tw9s_THxdN5Icdd4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2022-01-13T11:04:16.277499+00:00,0,,,cbEj9M-rqSA,"{""text"":""Hermoso Gerard❤️ te quiero mucho""}",
Ugz8QyPOiPY9sWhgYA54AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2022-01-12T23:20:52.518867+00:00,0,,,Dy4pEFFbFsA,"{""text"":""Qué bella que es la música latinoamericana❤️ te amo Mon""}",
UgyhB-FmmRLTTXKd2pd4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-10-21T02:39:30.544458+00:00,0,,,vze_PIwZf5I,"{""text"":""Brillante camila""}",
UgyOpvEyVIPz9oqFlNt4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-08-25T17:30:04.568973+00:00,0,,,wmi08-xcgxI,"{""text"":""Una grosa pupi!""}",
UgwJMExug7q8AflJHWh4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-08-10T00:28:47.197729+00:00,0,,,pL_csktMJbM,"{""text"":""Hermosasss✨❤️que viva el amor, el amor homosexual""}",
Ugx4fq5fUcSpSwdgfbR4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-06-16T03:39:02.322957+00:00,0,,,np2GRpRGP-8,"{""text"":""Los amoo""}",
UgyvbYtq4Xny1r-qqG14AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-06-14T03:50:14.005944+00:00,0,,,VqqkHnZLKfI,"{""text"":""la parte del cuarteto MI PAÍS MI PAÍS""}",
Ugws-yxkSd5GsBnDtq14AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-06-10T03:11:35.621283+00:00,0,,,io0qBeDzhZM,"{""text"":""qué hombre Tangana. Total respeto y admiración TE AMO REY""}",
Ugz_ao2Q65bbgMbBfy54AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-04-21T02:12:15.01318+00:00,0,,,SW6L_lTrIFg,"{""text"":""Me persigno permiso""}",
UgxSIqeOf9h4RXy2Cx94AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-03-19T03:41:55.520933+00:00,0,,,o7T6flU8xUY,"{""text"":""Qué tipazo x dio un iluminado""}",
UgwO1KIPh9ClMM08jLB4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-03-17T03:40:28.726889+00:00,0,,,XWroQobyptc,"{""text"":""Hermosas, hermoso tributo. Pero Marilina es bisexual, ella misma lo dijo. No Hace falta invisibilizar para visibilizar, más siendo que todas somos disidencias \u003c3""}",
UgyBy5AFtJ6xTFaI_FZ4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-03-11T18:59:16.672755+00:00,0,,,z7rI82hyels,"{""text"":""grande biza no sabés como me tiembla el palio""}",
Ugwx9CBe5TtfoLl1cjt4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-03-11T18:57:13.432177+00:00,0,,,K-py_fW08c4,"{""text"":""TE AMO KALI BANCANDO EL PROYECTO DESDE POR VIDA""}",
Ugw55peibbWdemKgDuJ4AaABAg.9KPHsz4mIG29KShnJQeBon,UCrPbFn1WLEtkQE8eAuDzVVA,2021-03-04T06:55:55.243493+00:00,0,Ugw55peibbWdemKgDuJ4AaABAg.9KPHsz4mIG29KQntJdixty,,w8ai1mweTe4,"{""text"":""@EL ÚLTIMO VECINO"",""mention"":{""externalChannelId"":""UCJpQv3YJ2u2GTfwZXjuJLEQ""}},{""text"":"" dios t amo está más que dedicada, bss desde arg""}",Ugw55peibbWdemKgDuJ4AaABAg
Ugw55peibbWdemKgDuJ4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-03-02T23:03:02.795181+00:00,0,,,w8ai1mweTe4,"{""text"":""A ver si se lo dedico a mi ex daleee""}",
UgxsE-xLdVLbkoCMQbZ4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-03-02T23:02:45.376491+00:00,0,,,w8ai1mweTe4,"{""text"":""LA MANIJA X DIOO""}",
UgzXotA9nPNSgB7g8id4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-02-26T18:36:06.497931+00:00,0,,,1nWPz3fIk6c,"{""text"":""Vamo nathy💕""}",
UgzcT1TNfYSSEV3wk7Z4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-02-23T16:40:30.317954+00:00,0,,,XLLkSBLqlvQ,"{""text"":""QUÉ HOMBRES TANGANA ERA POR AHÍ""}",
UgxZI-7s4xNI0v3932F4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-02-23T16:37:25.282219+00:00,0,,,wAZZ9Xe3HKA,"{""text"":""Calamaro se come el videoclip. Lo que es ser una estrella de rock.""}",
UgwbmsJbaZj--GdJ17h4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-02-01T08:43:31.624292+00:00,0,,,0-QxOoTiJzU,"{""text"":""Me motiva a niveles cósmicos ver el nivel de organización y como metiste tantas cosas en un cuarto mediano. Yo estoy tratando de hacer lo mismo desde que me mudé de mi casa de toda la vida a un depto pero ahora me diste ideotas para poder maximizar cada cm de mi habitación 😌""}",
Ugx9S0lKXq3Fvc6U9AR4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-01-19T06:18:56.861592+00:00,0,,,fM_6OnzXtdg,"{""text"":""DIOS EN UN ACTO DE INGLÉS HICIMOS EL MAGO DE OZ Y A LA RUBIA DE OJOS CELESTES LA PUSIERON A ACTUAR DE DOROTHY Y A MÍ ME MANDARON DE LA BRUJA MALA DEL OESTE NI OLVIDO NI PERDÓN""}",
UgzDw1U4fijoHphb8q54AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-01-19T05:56:30.721135+00:00,0,,,fM_6OnzXtdg,"{""text"":""GRACIAS POR LA REFE A CHA CHA CHA NOELIA T AMO""}",
UgyG-KuwVZVOX2hr9OJ4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2021-01-07T09:42:10.519892+00:00,0,,,kAVhFZykKks,"{""text"":""Gracias Lalo por hacerle justicia al ídolo de américa❤️""}",
UgzuYYawzwIxgToOcGB4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-12-09T08:13:46.514614+00:00,0,,,3rel2CNryP8,"{""text"":""No se entiende nada""}",
UgxOuH5w-JQUKoQ_7yd4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-11-27T23:03:08.712212+00:00,0,,,0OkiUUU3Odw,"{""text"":""colors quién t juna a vo""}",
Ugy8yDv3FGBMDXZnayh4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-11-27T23:02:54.153872+00:00,0,,,0OkiUUU3Odw,"{""text"":""QUÉ MUJER""}",
UgwXHwGmKOGvY4cYxdR4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-11-11T09:01:27.103865+00:00,0,,,V1Y9CK4A7rY,"{""text"":""te quiero zofih si tuviese una heladera de más te la regalaría""}",
UgzTvQOMQreZKsgMDhF4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-10-26T07:57:21.622407+00:00,0,,,WSh8G9MoXiA,"{""text"":""LA GENTE QUE NUNCA TUVO UN AMIGO PUTO EN SU VIDA--\u003esi""}",
UgwMt3qwxTtghlHA6s94AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-10-13T06:37:51.413163+00:00,0,,,zY8VrcU8j8E,"{""text"":""t amo noeliahh""}",
UgyISCVaMvhtzbggO0N4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-10-05T18:09:23.983525+00:00,0,,,53pvXQ0adXI,"{""text"":""Comparar a Samanta con Lars Von Trier—\u003eSÍ""}",
UgyroJolht9m9c9JOz54AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-10-02T03:27:40.408914+00:00,0,,,mgmTkzUlwZc,"{""text"":""agustina haciéndole piquito a la cámara for 14 minutes straight""}",
Ugzzw2xrPEqAmSqZQUt4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-09-25T04:06:41.59894+00:00,0,,,ssIkFumbDV0,"{""text"":""YAS KWEEEEEEN""}",
UgwUfY6C2ciTVrb2Uvh4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-09-21T07:22:08.107355+00:00,0,,,kZxdPdnEzv4,"{""text"":""Amiga ese PODER DE SÍNTESIS aplausos de pie""}",
UgxEo7rDlovake9ppk54AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-08-21T18:12:37.214816+00:00,0,,,vI_9DVMgvCo,"{""text"":""Yo estoy de acuerdo con todo pero comento igual xq tkm reina""}",
Ugx60cUAFhbZl_9VrVh4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-07-31T22:23:23.83614+00:00,0,,,FMB3q4FZUI8,"{""text"":""La vieja cantando la renga---\u003eyo""}",
UgwKSbn8TSXdcuMvgzd4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-07-18T00:16:05.492325+00:00,0,,,qpq9mARxiUY,"{""text"":""Mención especial a Cacho diciendo yo corro el culo y me duermo TA BIEN""}",
Ugx8wA-2dMeWWwhCyCp4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-07-13T09:19:08.929117+00:00,0,,,mNc-SbX0UlE,"{""text"":""Fernet yass cordobessian representation😭✊🏻""}",
UgytsN0EAbpOehlmKzp4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-07-05T05:13:53.676596+00:00,0,,,vRR2ZM_9Tks,"{""text"":""Sos nuestra pringada nacional y popular""}",
UgyLoqQx3sfwsORPcmZ4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-07-05T04:53:04.705881+00:00,0,,,vRR2ZM_9Tks,"{""text"":""vamoooo Noelia moneraaaaa Córdoba stans""}",
UgzuAi-IYv-kWpUGpsF4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-06-19T10:08:42.114401+00:00,0,,,xbUXBLnfdJA,"{""text"":""En argentina a las chicas como Lana le decimos que se hace la bebota sjsjsjjsjsjssj""}",
UgxrTKzMOmHUXKG1Zhx4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-06-12T16:53:41.635831+00:00,0,,Ugz5IEb3EtID_Kn9HO14AaABCQ,,"{""text"":""Esta foto es icónica en muchos niveles""}",
UgyZCTKYbj_7aXbpVpF4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-06-01T08:03:53.667391+00:00,0,,,t0I-lY8waVw,"{""text"":""te amo mimi se incendia el mundo y yo acá viendo tu salseo reina""}",
UgzzgoMOrO3ZjDnPvpN4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-21T04:04:48.449058+00:00,0,,,YSYASBI-KrY,"{""text"":""JUAN CARLOS CLEMENTE APARECIÓ SALVAJEMENTE TUVE QUE GRITAR""}",
Ugzwtapeo6yU9bXF15h4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-21T03:48:03.612514+00:00,0,,,C1NiUYPBtKQ,"{""text"":""ajdasjdjasjdas se garchó al hermano de la quinceañera ICONIC""}",
UgxwEyzGDL_R_7YkwyZ4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-21T03:13:52.925595+00:00,0,,,C1NiUYPBtKQ,"{""text"":""tu abuela es una reina""}",
UgxJ1e0OHgyNL2udHWN4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-20T03:12:41.871973+00:00,0,,,ZJVvTjEkqTs,"{""text"":""Amigo mío princeso de un cuento infinito dajdjajdasdjd""}",
UgyWlXY-xnRprEGeCp54AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-19T01:14:11.132315+00:00,0,,,zl6s1tL9b20,"{""text"":""OMG that jumpsuit I mean,, momma sunshine rules""}",
UgzgeAovxtpCmVFA8kd4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-17T04:51:18.440218+00:00,0,,,ymsqjk-LUoI,"{""text"":""TE AMO CON TODA EL ALMA NOELIA""}",
