ID de lista de reproducción,Añadir vídeos nuevos al principio,Título de la lista de reproducción (original),Idioma del título de la lista de reproducción (original),Marca de tiempo de creación de la lista de reproducción,Marca de tiempo de actualización de la lista de reproducción,Orden de vídeos de lista de reproducción,Visibilidad de la lista de reproducción
PL-fDsogedzeVjTiOVvJXP6-MB3sSMCq0Q,Falso,ux/ui,,2021-04-10T17:30:12+00:00,2021-04-10T17:30:12+00:00,Manual,Privado
PL-fDsogedzeXxJ-q9OGy_I6drj6-Raqop,Falso,Meditación,,2021-02-01T07:38:10+00:00,2021-02-01T08:11:35+00:00,Manual,Privado
PL-fDsogedzeVKOOGMUlwRGFw8OH6s9Yi_,Falso,facultad,,2020-09-08T22:10:38+00:00,2020-09-26T06:08:49+00:00,Manual,Pública
PL-fDsogedzeVm3OH5eol4DG6u7ipeVYha,Falso,mucho más,,2019-04-26T04:23:53+00:00,2020-09-11T01:10:18+00:00,Manual,Pública
PL-fDsogedzeV5OFPwvG4nxfO0a4U5NNMv,Falso,diy,,2018-07-30T23:47:12+00:00,2020-06-09T05:41:29+00:00,Manual,Pública
PL-fDsogedzeV11pCoW5o0MEOipWlYvYbK,Falso,Fotochop,,2018-05-30T05:48:54+00:00,2020-06-09T08:21:56+00:00,Manual,Oculta
PL-fDsogedzeW5TzO8vmXpH32ABhz4OYsP,Falso,Pelis,,2018-05-15T21:20:24+00:00,2020-08-13T18:31:22+00:00,Manual,Pública
PL-fDsogedzeVIhhKhJCzF0-bctxkccdA9,Falso,Watch later,en_US,2015-03-15T13:36:41+00:00,2024-02-06T00:26:32+00:00,Manual,Privado





