ID del mensaje del chat en directo,ID de canal,Marca de tiempo de creación del mensaje del chat en directo,Precio,ID de vídeo,Texto del mensaje del chat en directo
Ugwn4_LXwxUkAoYAzNN4AaABDqgBg6L1iAI,UCrPbFn1WLEtkQE8eAuDzVVA,2021-05-21T20:20:31.343793+00:00,0,P-4R7XkWZIA,"{""text"":""qué""}"
UgwtnXDXfjOa6bEaWf14AaABDqgBz82YmQI,UCrPbFn1WLEtkQE8eAuDzVVA,2021-05-21T20:15:39.353515+00:00,0,P-4R7XkWZIA,"{""text"":""el tosargen""}"
UgzPnURu4jI0TlhU9IZ4AaABDqgBp7zehQI,UCrPbFn1WLEtkQE8eAuDzVVA,2021-05-21T20:13:14.641392+00:00,0,P-4R7XkWZIA,"{""text"":""ni los advendgers ese crossover""}"
UgxZCrjY5YSRjs-4SS14AaABDqgBqd-wjAI,UCrPbFn1WLEtkQE8eAuDzVVA,2021-05-21T20:04:46.971047+00:00,0,P-4R7XkWZIA,"{""text"":""los de los simu ""}"
UgzLfPX-SiukgQujSYd4AaABDqgB9M2CkQI,UCrPbFn1WLEtkQE8eAuDzVVA,2021-05-21T20:03:15.186783+00:00,0,P-4R7XkWZIA,"{""text"":""PIEL DE GASHINA""}"
UgwMQZKAoGoPlgBrubx4AaABDqgB2qDmigI,UCrPbFn1WLEtkQE8eAuDzVVA,2021-03-02T23:06:47.35855+00:00,0,w8ai1mweTe4,"{""text"":""Se lo dedicaremos a mi ex""},{""text"":""🙏🏻""}"
UgxgAHvFiAAlX6xICet4AaABDqgBrqGagQI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-11-06T23:32:30.664562+00:00,0,7lvMYRTvqSE,"{""text"":""qué tal mis ORGULLOSASSSSSSSSS""}"
UgxZDYaGpVu4pye9YnB4AaABDqgB5u6YkAI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-08-21T20:02:48.034934+00:00,0,Qkg0C-M3UMg,"{""text"":""apostar a la diversidad mmmmmm dijo la muda""}"
Ugw_H7VUh4psqiGE5Qx4AaABDqgB1OKUjAI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:57:06.525982+00:00,0,1F_EcYBkcCQ,"{""text"":""NO SHE DIDNT""}"
UgwmygUGRf3WGj-R7lZ4AaABDqgBq7WtlwI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:56:57.541293+00:00,0,1F_EcYBkcCQ,"{""text"":""QUÉ DIJISTE DE LA KALIFORNIA""}"
UgwPNjMOOjk9_pYBy2N4AaABDqgBw7-mhAI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:53:12.460716+00:00,0,1F_EcYBkcCQ,"{""text"":""khenya sos la mejor de todas reina""}"
UgwX56l7x_EDpFSCDzN4AaABDqgB5oOjnwI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:52:19.417296+00:00,0,1F_EcYBkcCQ,"{""text"":""JUSTICE 4 FOXY""}"
