ID del canal,URL del canal,Título del canal
UC-AqLLFKh8QoCsXaPAg4aRQ,http://www.youtube.com/channel/UC-AqLLFKh8QoCsXaPAg4aRQ,Inked
UC-FQUIVQ-bZiefzBiQAa8Fw,http://www.youtube.com/channel/UC-FQUIVQ-bZiefzBiQAa8Fw,BBC Radio 1
UC-NdtGk07frHfup0lTkcC6w,http://www.youtube.com/channel/UC-NdtGk07frHfup0lTkcC6w,Susan Veggie
UC-zc27zh_-_x0UI7wiqAg7w,http://www.youtube.com/channel/UC-zc27zh_-_x0UI7wiqAg7w,Initial Talk
UC0Cc-m348L1pyb1rlsCKf8Q,http://www.youtube.com/channel/UC0Cc-m348L1pyb1rlsCKf8Q,Evelina Forsell
UC0IdiFBtfUmd-D-rTPMPVgQ,http://www.youtube.com/channel/UC0IdiFBtfUmd-D-rTPMPVgQ,Viole Parisi
UC0vt8kHpp0gSmyV2a29hs1Q,http://www.youtube.com/channel/UC0vt8kHpp0gSmyV2a29hs1Q,Andrés Calamaro
UC0xoZeQjwVfEZTeg1WE8YLQ,http://www.youtube.com/channel/UC0xoZeQjwVfEZTeg1WE8YLQ,eldeseopc
UC1HlihY-iNtOemAlYQq3GXQ,http://www.youtube.com/channel/UC1HlihY-iNtOemAlYQq3GXQ,The Ukulele Teacher
UC1IjtaT9VOGfMnUZOdGmECA,http://www.youtube.com/channel/UC1IjtaT9VOGfMnUZOdGmECA,Julieta L
UC1N0rxmM1cSvtBtBWenhOng,http://www.youtube.com/channel/UC1N0rxmM1cSvtBtBWenhOng,Bea Jonite
UC1zLDoKL-eKmd_K7qkUZ-ow,http://www.youtube.com/channel/UC1zLDoKL-eKmd_K7qkUZ-ow,Canal Encuentro
UC28FD2v19VZFryIjpvGIFLw,http://www.youtube.com/channel/UC28FD2v19VZFryIjpvGIFLw,Mixed Makeup
UC2Qw1dzXDBAZPwS7zm37g8g,http://www.youtube.com/channel/UC2Qw1dzXDBAZPwS7zm37g8g,COLORS
UC2XClqyKxuGdskiLmLC-19w,http://www.youtube.com/channel/UC2XClqyKxuGdskiLmLC-19w,VeggiesAlPoder
UC2_a05o1pW4fr9SzlyMv8OA,http://www.youtube.com/channel/UC2_a05o1pW4fr9SzlyMv8OA,SunlightinMidnight
UC33zOh8AwVFcOqlXdwjOs6w,http://www.youtube.com/channel/UC33zOh8AwVFcOqlXdwjOs6w,Peter Capusotto y sus Videos
UC3S3iHn46uaF2NAwQY80orw,http://www.youtube.com/channel/UC3S3iHn46uaF2NAwQY80orw,Camionera Travesti (YUNI)
UC3bZVaZM51uV8mMWHW6p8ZA,http://www.youtube.com/channel/UC3bZVaZM51uV8mMWHW6p8ZA,Natalia Maldini
UC3cs9UJtR6GXwoGcMHhSFYA,http://www.youtube.com/channel/UC3cs9UJtR6GXwoGcMHhSFYA,HD Retro Trailers
UC4DnTF4CNPG1xx8CWMRQoBA,http://www.youtube.com/channel/UC4DnTF4CNPG1xx8CWMRQoBA,Vale Martinetti
UC4HiwSfISglvt0QEulkBYPA,http://www.youtube.com/channel/UC4HiwSfISglvt0QEulkBYPA,The Last Shadow Puppets
UC4Q3WXBJwa24ZLQa3v76KLA,http://www.youtube.com/channel/UC4Q3WXBJwa24ZLQa3v76KLA,Blancanieves del päraway
